"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"05005","630","658","189","218","611","270","932","138","218","07-05-2023 10:00:04"
"05006","914","945","274","320","853","412","1473","196","190","07-05-2023 10:00:04"
"05007","988","981","265","211","1066","427","1476","173","320","07-05-2023 10:00:04"
"05008","768","896","271","200","839","354","1425","125","114","07-05-2023 10:00:04"
"05009","755","933","260","192","862","374","1415","106","167","07-05-2023 10:00:04"
"05010","692","819","263","179","739","330","1281","123","107","07-05-2023 10:00:04"
"05011","649","763","229","154","732","297","1184","104","124","07-05-2023 10:00:04"
"05012","643","769","202","171","761","278","1199","101","112","07-05-2023 10:00:04"
"05013","798","885","243","197","896","347","1432","113","138","07-05-2023 10:00:04"
"05014","767","854","273","141","814","393","1342","138","141","07-05-2023 10:00:04"
"05015","733","831","297","196","761","310","1333","103","128","07-05-2023 10:00:04"
"05016","854","1069","388","215","996","324","1595","138","190","07-05-2023 10:00:04"
"05017","707","827","242","183","739","370","1350","88","96","07-05-2023 10:00:04"
"05018","578","693","223","145","604","299","1073","94","104","07-05-2023 10:00:04"
"05019","726","919","283","180","772","410","1460","64","121","07-05-2023 10:00:04"
"05020","511","630","123","141","620","257","928","53","160","07-05-2023 10:00:04"
"05021","590","690","213","163","612","292","1037","55","188","07-05-2023 10:00:04"
"05022","773","961","277","167","824","466","1534","88","112","07-05-2023 10:00:04"
"05023","664","844","230","151","800","327","1274","85","149","07-05-2023 10:00:04"
"05024","913","1044","321","275","916","445","1726","107","124","07-05-2023 10:00:04"
"05025","598","682","190","198","623","269","1111","46","123","07-05-2023 10:00:04"
"05026","668","742","243","194","667","306","1299","43","68","07-05-2023 10:00:04"
"05027","650","721","212","227","622","310","1230","75","66","07-05-2023 10:00:04"
"05028","851","831","259","240","866","317","1420","72","190","07-05-2023 10:00:04"
"05029","815","881","294","259","812","331","1502","103","91","07-05-2023 10:00:04"
"05030","651","739","236","207","640","307","1283","37","70","07-05-2023 10:00:04"
"05031","739","849","232","251","718","387","1361","96","131","07-05-2023 10:00:04"
"05032","879","984","286","281","874","422","1450","154","259","07-05-2023 10:00:04"
"05033","688","794","280","183","722","297","1232","103","147","07-05-2023 10:00:04"
"05034","550","653","157","160","632","254","996","63","144","07-05-2023 10:00:04"
"05035","505","542","120","133","446","348","943","38","66","07-05-2023 10:00:04"
"05036","839","983","298","256","869","399","1581","98","143","07-05-2023 10:00:04"
"05037","655","838","229","212","733","319","1284","66","143","07-05-2023 10:00:04"
"05038","636","789","171","131","805","318","1084","103","238","07-05-2023 10:00:04"
"05039","748","824","254","208","705","405","1419","69","84","07-05-2023 10:00:04"
"05040","679","829","219","171","838","280","1227","101","180","07-05-2023 10:00:04"
"05041","1028","1229","283","241","1346","387","1460","154","643","07-05-2023 10:00:04"
"05042","635","685","179","121","737","283","1123","64","133","07-05-2023 10:00:04"
"05043","681","834","207","150","854","304","1225","95","195","07-05-2023 10:00:04"
"05044","600","728","215","121","730","262","1099","89","140","07-05-2023 10:00:04"
"05045","744","867","278","224","784","325","1437","85","89","07-05-2023 10:00:04"
"05046","497","664","154","129","493","385","1074","42","45","07-05-2023 10:00:04"
